phone_name,review_url,image_url,image_alt
Google Pixel 10 Pro XL review,https://www.gsmarena.com/google_pixel_10_pro_xl-review-2881.php,https://fdn.gsmarena.com/imgroot/reviews/25/google-pixel-10-pro-xl/review/-347x151/gsmarena_001.jpg,
Sony Xperia 10 VII review,https://www.gsmarena.com/sony_xperia_10_vii-review-2879.php,https://fdn.gsmarena.com/imgroot/reviews/25/sony-xperia-10-vii/-347x151/gsmarena_001.jpg,
Samsung Galaxy S25 FE review,https://www.gsmarena.com/samsung_galaxy_s25_fe-review-2880.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-s25-fe/-347x151/gsmarena_000.jpg,
Google Pixel 10 Pro review,https://www.gsmarena.com/google_pixel_10_pro-review-2877.php,https://fdn.gsmarena.com/imgroot/reviews/25/google-pixel-10-pro/-347x151/gsmarena_001.jpg,
Google Pixel 10 review,https://www.gsmarena.com/google_pixel_10-review-2878.php,https://fdn.gsmarena.com/imgroot/reviews/25/google-pixel-10/-347x151/gsmarena_000.jpg,
Xiaomi Redmi 15 5G hands-on review,https://www.gsmarena.com/xiaomi_redmi_15_5g_hands_on-review-2876.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-redmi-15-5g/-347x151/gsmarena_001.jpg,
Huawei MatePad Pro 12.2 (2025) review,https://www.gsmarena.com/huawei_matepad_pro_12_2_2025-review-2865.php,https://fdn.gsmarena.com/imgroot/reviews/25/huawei-matepad-pro-12-2-2025/-347x151/gsmarena_003.jpg,
The Ultra cameraphone comparison,https://www.gsmarena.com/huawei_oppo_samsung_vivo_xiaomi_ultra_camera_compa-review-2867.php,https://fdn.gsmarena.com/imgroot/reviews/25/ultra-vs/-347x151/gsmarena_001.jpg,
Honor Magic V5 review,https://www.gsmarena.com/honor_magic_v5-review-2870.php,https://fdn.gsmarena.com/imgroot/reviews/25/honor-magic-v5/-347x151/gsmarena_001.jpg,
Google Pixel 10 Pro XL hands-on review,https://www.gsmarena.com/google_pixel_10_pro_xl_handson-review-2875.php,https://fdn.gsmarena.com/imgroot/reviews/25/google-pixel-10-pro-xl/-347x151/gsmarena_001.jpg,
vivo V60 review,https://www.gsmarena.com/vivo_v60-review-2874.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-v60/-347x151/gsmarena_001.jpg,
RedMagic Astra review,https://www.gsmarena.com/redmagic_astra-review-2864.php,https://fdn.gsmarena.com/imgroot/reviews/25/redmagic-astra/-347x151/gsmarena_001.jpg,
Realme 15 Pro review,https://www.gsmarena.com/realme_15_pro-review-2871.php,https://fdn.gsmarena.com/imgroot/reviews/25/realme-15-pro/-347x151/gsmarena_002.jpg,
Realme P4 Pro hands-on review,https://www.gsmarena.com/realme_p4_pro_handson-review-2872.php,https://fdn.gsmarena.com/imgroot/reviews/25/realme-p4-pro/hands-on/-347x151/gsmarena_001.jpg,
Samsung Galaxy A17 5G review,https://www.gsmarena.com/samsung_galaxy_a17_5g-review-2869.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-a17/-347x151/gsmarena_000.jpg,
Poco M7 Pro 5G review,https://www.gsmarena.com/poco_m7_pro_5g-review-2866.php,https://fdn.gsmarena.com/imgroot/reviews/25/poco-m7-pro-5g/-347x151/gsmarena_003.jpg,
Infinix Hot 60 Pro+ review,https://www.gsmarena.com/infinix_hot_60_pro_plus-review-2868.php,https://fdn.gsmarena.com/imgroot/reviews/25/infinix-hot-60-pro-plus/-347x151/gsmarena_001.jpg,
Huawei Pura 80 Ultra review,https://www.gsmarena.com/huawei_pura_80_ultra-review-2863.php,https://fdn.gsmarena.com/imgroot/reviews/25/huawei-pura-80-ultra/-347x151/gsmarena_001.jpg,
Tecno Spark 40 Pro+ review,https://www.gsmarena.com/tecno_spark_40_pro_plus-review-2862.php,https://fdn.gsmarena.com/imgroot/reviews/25/tecno-spark-40-pro-plus/-347x151/gsmarena_001.jpg,
OnePlus Pad 3 review,https://www.gsmarena.com/oneplus_pad_3-review-2854.php,https://fdn.gsmarena.com/imgroot/reviews/25/oneplus-pad-3/-347x151/gsmarena_001.jpg,
Samsung Galaxy Z Flip7 FE review,https://www.gsmarena.com/samsung_galaxy_z_flip7_fe-review-2861.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-z-flip7-fe/-347x151/gsmarena_001.jpg,
vivo X Fold5 review,https://www.gsmarena.com/vivo_x_fold5-review-2859.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-x-fold5/-347x151/gsmarena_001.jpg,
Samsung Galaxy Watch8 and Galaxy Watch8 Classic review,https://www.gsmarena.com/samsung_galaxy_watch8_and_galaxy_watch8_classic-review-2860.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-watch8-series/-347x151/gsmarena_001.jpg,
Realme 15 Pro hands-on review,https://www.gsmarena.com/realme_15_pro_handson-review-2858.php,https://fdn.gsmarena.com/imgroot/reviews/25/realme-15-pro/hands-on/-347x151/gsmarena_001.jpg,
Samsung Galaxy Z Flip7 review,https://www.gsmarena.com/samsung_galaxy_z_flip7-review-2857.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-z-flip7/-347x151/gsmarena_001.jpg,
Apple iPad 11-inch A16 (2025) review,https://www.gsmarena.com/ipad_11_inch_a16_2025-review-2848.php,https://fdn.gsmarena.com/imgroot/reviews/25/ipad-11-inch-a16-2025/-347x151/gsmarena_001.jpg,
Samsung Galaxy Z Fold7 review,https://www.gsmarena.com/samsung_galaxy_z_fold7-review-2856.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-z-fold7/-347x151/gsmarena_000.jpg,
OnePlus Nord CE5 review,https://www.gsmarena.com/oneplus_nord_ce5-review-2855.php,https://fdn.gsmarena.com/imgroot/reviews/25/oneplus-nord-ce5/-347x151/gsmarena_001.jpg,
Nothing Phone (3) review,https://www.gsmarena.com/nothing_phone_3-review-2853.php,https://fdn.gsmarena.com/imgroot/reviews/25/nothing-phone-3/-347x151/gsmarena_001.jpg,
vivo X200 FE review,https://www.gsmarena.com/vivo_x200_fe-review-2850.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-x200-fe/-347x151/gsmarena_001.jpg,
